year,analysis_file,root,car_number,record_index,parent_start_ts,parent_end_ts,parent_start_utc,parent_end_utc,history_count
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,3,0,1558211143.963274,1558212573.956534,2019-05-18T20:25:43.963274+00:00,2019-05-18T20:49:33.956534+00:00,32
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,4,0,1558207133.743392,1558212573.956534,2019-05-18T19:18:53.743392+00:00,2019-05-18T20:49:33.956534+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,77,0,1558199513.870232,1558199723.87043,2019-05-18T17:11:53.870232+00:00,2019-05-18T17:15:23.870430+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,10,0,1558214634.373853,1558214874.645812,2019-05-18T21:23:54.373853+00:00,2019-05-18T21:27:54.645812+00:00,8
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,15,0,1558216040.511943,1558216224.158177,2019-05-18T21:47:20.511943+00:00,2019-05-18T21:50:24.158177+00:00,7
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,60,0,1558194868.875969,1558195078.84023,2019-05-18T15:54:28.875969+00:00,2019-05-18T15:57:58.840230+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,63,0,1558196023.846146,1558196233.841428,2019-05-18T16:13:43.846146+00:00,2019-05-18T16:17:13.841428+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,59,0,1558213883.960693,1558214078.975833,2019-05-18T21:11:23.960693+00:00,2019-05-18T21:14:38.975833+00:00,9
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,81,0,1558214243.961224,1558214328.962064,2019-05-18T21:17:23.961224+00:00,2019-05-18T21:18:48.962064+00:00,3
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,24,0,1558215499.894595,1558215691.564602,2019-05-18T21:38:19.894595+00:00,2019-05-18T21:41:31.564602+00:00,7
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,21,0,1558191978.734024,1558192183.733642,2019-05-18T15:06:18.734024+00:00,2019-05-18T15:09:43.733642+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,22,0,1558196598.842386,1558196808.847107,2019-05-18T16:23:18.842386+00:00,2019-05-18T16:26:48.847107+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,23,0,1558193723.73575,1558193933.736843,2019-05-18T15:35:23.735750+00:00,2019-05-18T15:38:53.736843+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,30,0,1558196288.847643,1558196503.865886,2019-05-18T16:18:08.847643+00:00,2019-05-18T16:21:43.865886+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,42,0,1558212973.972524,1558213083.95708,2019-05-18T20:56:13.972524+00:00,2019-05-18T20:58:03.957080+00:00,3
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,33,0,1558195748.848867,1558195958.845046,2019-05-18T16:09:08.848867+00:00,2019-05-18T16:12:38.845046+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,2,0,1558199213.849905,1558199423.853516,2019-05-18T17:06:53.849905+00:00,2019-05-18T17:10:23.853516+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,5,0,1558200078.872667,1558200173.845899,2019-05-18T17:21:18.872667+00:00,2019-05-18T17:22:53.845899+00:00,2
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,4,0,1558207133.743392,1558207348.963186,2019-05-18T19:18:53.743392+00:00,2019-05-18T19:22:28.963186+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,7,0,1558195473.843673,1558195688.846524,2019-05-18T16:04:33.843673+00:00,2019-05-18T16:08:08.846524+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,48,0,1558215819.026621,1558215955.174418,2019-05-18T21:43:39.026621+00:00,2019-05-18T21:45:55.174418+00:00,4
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,12,0,1558194008.734003,1558194218.739481,2019-05-18T15:40:08.734003+00:00,2019-05-18T15:43:38.739481+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,10,0,1558214634.373853,1558214919.313235,2019-05-18T21:23:54.373853+00:00,2019-05-18T21:28:39.313235+00:00,8
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,15,0,1558215979.892131,1558216010.145257,2019-05-18T21:46:19.892131+00:00,2019-05-18T21:46:50.145257+00:00,3
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,15,1,1558216040.511943,1558216261.439311,2019-05-18T21:47:20.511943+00:00,2019-05-18T21:51:01.439311+00:00,7
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,66,0,1558214398.962428,1558214468.962933,2019-05-18T21:19:58.962428+00:00,2019-05-18T21:21:08.962933+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,66,1,1558214493.968321,1558214639.099346,2019-05-18T21:21:33.968321+00:00,2019-05-18T21:23:59.099346+00:00,3
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,59,0,1558213883.960693,1558214118.954339,2019-05-18T21:11:23.960693+00:00,2019-05-18T21:15:18.954339+00:00,9
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,81,0,1558214118.954339,1558214163.946,2019-05-18T21:15:18.954339+00:00,2019-05-18T21:16:03.946000+00:00,2
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,81,1,1558214188.956075,1558214213.969034,2019-05-18T21:16:28.956075+00:00,2019-05-18T21:16:53.969034+00:00,2
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,81,2,1558214243.961224,1558214368.956612,2019-05-18T21:17:23.961224+00:00,2019-05-18T21:19:28.956612+00:00,3
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,32,0,1558214939.109684,1558214989.012534,2019-05-18T21:28:59.109684+00:00,2019-05-18T21:29:49.012534+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,32,1,1558215034.051654,1558215069.164249,2019-05-18T21:30:34.051654+00:00,2019-05-18T21:31:09.164249+00:00,2
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,32,2,1558215094.392966,1558215130.08417,2019-05-18T21:31:34.392966+00:00,2019-05-18T21:32:10.084170+00:00,2
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,24,0,1558213278.954829,1558213328.961762,2019-05-18T21:01:18.954829+00:00,2019-05-18T21:02:08.961762+00:00,2
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,stint,24,1,1558213353.960442,1558213483.956672,2019-05-18T21:02:33.960442+00:00,2019-05-18T21:04:43.956672+00:00,37
