anchor_text,url,domain,file_type,relevance_score,matched_keywords
2018 Toronto Qualifying,https://ptscin.com/wp-content/uploads/2025/06/TorontoQual18.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Toronto Race,https://ptscin.com/wp-content/uploads/2025/06/TorontoRace18.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Barber Qualifying,https://ptscin.com/wp-content/uploads/2025/06/HIGPA-QUAL.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Barber Race,https://ptscin.com/wp-content/uploads/2025/06/HIGPA-RACE.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Detroit Qualifying 1,https://ptscin.com/wp-content/uploads/2025/06/Detroit1-Qual.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Detroit Qualifying 2,https://ptscin.com/wp-content/uploads/2025/06/Detroit2-Qual.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Detroit Race 1,https://ptscin.com/wp-content/uploads/2025/06/Detroit-1-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Detroit Race 2,https://ptscin.com/wp-content/uploads/2025/06/Detroit2-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Laguna Seca Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Laguna-Seca-Quals.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Laguna Seca Race,https://ptscin.com/wp-content/uploads/2025/06/Laguna-Seca-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Long Beach Fast 6,https://ptscin.com/wp-content/uploads/2025/06/AGPLB-Qual-Fast-6.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Long Beach Race,https://ptscin.com/wp-content/uploads/2025/06/AGPLB-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Long Beach Session 1 Qualifying,https://ptscin.com/wp-content/uploads/2025/06/AGPLB-Qual1-1.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Long Beach Top 12,https://ptscin.com/wp-content/uploads/2025/06/AGPLB-Qual-Top-12.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Mid-Ohio Fast 6,https://ptscin.com/wp-content/uploads/2025/06/Fast-6.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Mid-Ohio Race,https://ptscin.com/wp-content/uploads/2025/06/Mid-Ohio-Race-2019.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Mid-Ohio Session 1 Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Session-1.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Mid-Ohio Top 12,https://ptscin.com/wp-content/uploads/2025/06/Top-12.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Portland Qualifying,https://ptscin.com/wp-content/uploads/2025/06/PortlandQual2019.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Portland Race,https://ptscin.com/wp-content/uploads/2025/06/PortlandRace2019.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Road America Qualifying,https://ptscin.com/wp-content/uploads/2025/06/RoadAmerica-Qual2019.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Road America Race,https://ptscin.com/wp-content/uploads/2025/06/RoadAmerica2019.png,ptscin.com,PAGE_OR_OTHER,0,
2019 St. Pete Qualifying,https://ptscin.com/wp-content/uploads/2025/06/StPete19_Qual.png,ptscin.com,PAGE_OR_OTHER,0,
2019 St. Pete Race,https://ptscin.com/wp-content/uploads/2025/06/StPete19_Race.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Toronto Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Toronto19-Qual.png,ptscin.com,PAGE_OR_OTHER,0,
2019 Toronto Race,https://ptscin.com/wp-content/uploads/2025/06/Toronto19-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2020 Mid-Ohio Qualifying 1,https://ptscin.com/wp-content/uploads/2025/06/MID-OHIO-qual-race-1.png,ptscin.com,PAGE_OR_OTHER,0,
2020 Mid-Ohio Qualifying 2,https://ptscin.com/wp-content/uploads/2025/06/MID-OHIO-2020-QUAL-RACE-2.png,ptscin.com,PAGE_OR_OTHER,0,
2020 Mid-Ohio Race 1,https://ptscin.com/wp-content/uploads/2025/06/MID-OHIO-2020-RACE-1.png,ptscin.com,PAGE_OR_OTHER,0,
2020 Mid-Ohio Race 2,https://ptscin.com/wp-content/uploads/2025/06/MID-OHIO-RACE-2.png,ptscin.com,PAGE_OR_OTHER,0,
2020 Road America Qualifying 1,https://ptscin.com/wp-content/uploads/2025/06/REV-Grand-Prix_Qual-1.png,ptscin.com,PAGE_OR_OTHER,0,
2020 Road America Qualifying 2,https://ptscin.com/wp-content/uploads/2025/06/REV-Group-Race-2-Qual.png,ptscin.com,PAGE_OR_OTHER,0,
2020 Road America Race 1,https://ptscin.com/wp-content/uploads/2025/06/REV-Grand-Prix_Race-1.png,ptscin.com,PAGE_OR_OTHER,0,
2020 Road America Race 2,https://ptscin.com/wp-content/uploads/2025/06/Rev-Group-Grand-Prix-Race-2.png,ptscin.com,PAGE_OR_OTHER,0,
2020 Texas Race,https://ptscin.com/wp-content/uploads/2025/06/Genesys-300_Race.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Detroit Qualifying 1,https://ptscin.com/wp-content/uploads/2025/06/Detroit-Qual-1.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Detroit Qualifying 2,https://ptscin.com/wp-content/uploads/2025/06/Detroit-Qual-2.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Detroit Race 1,https://ptscin.com/wp-content/uploads/2025/06/Detroit-2021-Race-1.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Detroit Race 2,https://ptscin.com/wp-content/uploads/2025/06/Detroit-2021-Race-2.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Laguna Seca Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Laguna-Quals.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Laguna Seca Race,https://ptscin.com/wp-content/uploads/2025/06/Laguna-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Long Beach Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Long-Beach-Quals.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Long Beach Race,https://ptscin.com/wp-content/uploads/2025/06/Long-Beach-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Mid-Ohio Qualifying,https://ptscin.com/wp-content/uploads/2025/06/2021-MidOhio-Qual.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Mid-Ohio Race,https://ptscin.com/wp-content/uploads/2025/06/2021-MidOhio-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Nashville Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Nashville-Quals.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Nashville Race,https://ptscin.com/wp-content/uploads/2025/06/Nashville-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Portland Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Portland-GP-Quals.png,ptscin.com,PAGE_OR_OTHER,0,
2021 Portland Race,https://ptscin.com/wp-content/uploads/2025/06/Portland-GP-Race.png,ptscin.com,PAGE_OR_OTHER,0,
