year,file,page,line_no,keyword_hits,raw_line
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,25,28,speed,T2500 Speedway James to 5.0187 224.162 5.0356 223.409 5.0433 223.068 5.0473 222.891 6.4977 173.138
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,25,32,car | section,2.9303 229.886 2.9341 229.589 2.9402 229.112 2.9423 228.949 3.3491 201.140 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,25,35,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,25,36,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,26,7,car,May PI IndyCar 48.3941 171.102
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,26,11,car,39.8661 225.756 39.8524 225.833 39.8671 225.750 39.9419 225.327 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,26,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,26,28,speed,T2500 Speedway T2 5.0140 5.0225 5.0276 5.0403 6.5284 to 224.372 223.992 223.765 223.201 172.324 Max
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,26,31,car | section,2.9305 229.871 2.9363 229.417 2.9295 229.949 2.9297 229.934 3.1078 216.757 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,26,34,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,26,35,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,27,8,car,May SF IndyCar to 46.0062 180.984 47.5224 175.209
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,27,11,car,39.7550 226.387 41.5884 216.406 39.7459 226.438 39.8424 225.890 39.8592 225.795 39.8766 225.696 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,27,12,lap,Lap
