attempt_id,section_rows,valid_section_speed_rows,valid_section_time_rows,unique_section_names,section_names,covered_laps,n_covered_laps,full_lap_coverage_rows
6992580a-0371-5eda-b01d-2adaca099ff4,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
69b27d9b-5386-5a2c-a855-449bb527fca1,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
6ac7f239-a4c8-58cb-b816-ca8512d9e76b,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
6ae025d8-4be3-5efa-ab70-c02c7b475629,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
6b3a0fca-f386-5a86-84cb-5568e38f1a7e,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
6b431530-73f9-5f7c-9847-5092f30c1cb4,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
6bdde501-b1fc-5382-8f09-3918fb5aa07e,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
6d879c45-8d0a-5f3e-8231-8af530bf9285,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
7081f00a-f41a-5e96-9687-e9390599c81b,68,68,68,17,Back Stretch 1|Back Stretch 2|Back Stretch 3|Back Stretch 4|Front Stretch 1|Front Stretch 2|Front Stretch 3|Front Stretch 4|Front Stretch 5|Turn 1 Entry|Turn 1 Exit|Turn 2 Entry|Turn 2 Exit|Turn 3 Entry|Turn 3 Exit|Turn 4 Entry|Turn 4 Exit,1|2|3|4,4,0
72b65040-5363-5722-b1cd-297bffa2af77,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
73af9176-8333-59df-915e-2cc1016f64b2,36,36,36,9,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4,36
