catalogue_index,id,series,description,startTime,start_utc,start_indianapolis,filename,analysisFilename,indy_keyword,qual_keyword,500_keyword,inferred_year
9730,a2809f3f-785c-4fad-af3d-e3fbf44969b4,IndyCar,109th Running of the Indianapolis 500 - Practice 4,1747324663,2025-05-15T15:57:43+00:00,2025-05-15T11:57:43-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-15 15-57 IndyCar - 109th Running of the Indianapolis 500 - Practice 4.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-15 15-57 IndyCar - 109th Running of the Indianapolis 500 - Practice 4.json,True,False,True,2025
9732,a2854e6b-fb5a-4b3b-b246-d9eb230029f1,IndyCar,Indianapolis 500 - Practice 4,1684425473,2023-05-18T15:57:53+00:00,2023-05-18T11:57:53-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-18 15-57 IndyCar - Indianapolis 500 - Practice 4.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-18 15-57 IndyCar - Indianapolis 500 - Practice 4.json,True,False,True,2023
9746,a2b295ca-3252-4082-ac05-368efcaf0786,IndyCar,Indianapolis 500 - Qualifying,1684691834,2023-05-21T17:57:14+00:00,2023-05-21T13:57:14-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-21 17-57 IndyCar - Indianapolis 500 - Qualifying.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-21 17-57 IndyCar - Indianapolis 500 - Qualifying.json,True,True,True,2023
10040,a77cc145-d733-4672-b186-402b381c44f2,IndyCar,110th Running of the Indianapolis 500 - Practice Final,1779461858,2026-05-22T14:57:38+00:00,2026-05-22T10:57:38-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-22 14-57 IndyCar - 110th Running of the Indianapolis 500 - Practice Final.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-22 14-57 IndyCar - 110th Running of the Indianapolis 500 - Practice Final.json,True,False,True,2026
10128,a8c14db2-718c-4433-8987-31d39e3adeca,IndyCar,108th Running of the Indianapolis 500 - Practice Final,1716562628,2024-05-24T14:57:08+00:00,2024-05-24T10:57:08-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-24 14-57 IndyCar - 108th Running of the Indianapolis 500 - Practice Final.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-24 14-57 IndyCar - 108th Running of the Indianapolis 500 - Practice Final.json,True,False,True,2024
10193,a9e341f1-22b9-47e8-ab97-a64df42a1303,IndyCar,Indianapolis 500 - Practice 8,1684774678,2023-05-22T16:57:58+00:00,2023-05-22T12:57:58-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-22 16-57 IndyCar - Indianapolis 500 - Practice 8.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-22 16-57 IndyCar - Indianapolis 500 - Practice 8.json,True,False,True,2023
10203,a9fce767cc014c269de43154e1c3fb3e,IndyCar,102nd Indianapolis 500 - Race,1527437063,2018-05-27T16:04:23+00:00,2018-05-27T12:04:23-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/a9fce767cc014c269de43154e1c3fb3e.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/a9fce767cc014c269de43154e1c3fb3e.json,True,False,True,2018
10270,ab10fda8aff14b64b6336695170d6ede,IndyCar,105th Running of the Indianapolis 500 - Practice 5,1621612512,2021-05-21T15:55:12+00:00,2021-05-21T11:55:12-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/ab10fda8aff14b64b6336695170d6ede.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/ab10fda8aff14b64b6336695170d6ede.json,True,False,True,2021
10340,ac44583f83e048c7b1b4cdb0953074e1,IndyCar,104th Indianapolis 500 - Qualifying,1597597795,2020-08-16T17:09:55+00:00,2020-08-16T13:09:55-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/ac44583f83e048c7b1b4cdb0953074e1.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/ac44583f83e048c7b1b4cdb0953074e1.json,True,True,True,2020
10476,aee01985-ecf0-474c-acc8-832a0f833295,IndyCar,109th Running of the Indianapolis 500 - Practice 5,1747411063,2025-05-16T15:57:43+00:00,2025-05-16T11:57:43-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-16 15-57 IndyCar - 109th Running of the Indianapolis 500 - Practice 5.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-16 15-57 IndyCar - 109th Running of the Indianapolis 500 - Practice 5.json,True,False,True,2025
