year,analysis_file,car_number,stint_index,lap_index,lap_number,laptime_s,timestamp_ms,timestamp_utc,timestamp_indianapolis,flag
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,33,0,1,2,38.7285,1747500518665,2025-05-17T16:48:38.665000+00:00,2025-05-17T12:48:38.665000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,33,0,2,3,38.9669,1747500556974,2025-05-17T16:49:16.974000+00:00,2025-05-17T12:49:16.974000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,33,0,3,4,38.9237,1747500593633,2025-05-17T16:49:53.633000+00:00,2025-05-17T12:49:53.633000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,33,0,4,5,38.961,1747500633656,2025-05-17T16:50:33.656000+00:00,2025-05-17T12:50:33.656000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,98,0,0,1,40.9893,1747500782028,2025-05-17T16:53:02.028000+00:00,2025-05-17T12:53:02.028000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,98,0,1,2,39.1876,1747500820358,2025-05-17T16:53:40.358000+00:00,2025-05-17T12:53:40.358000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,98,0,2,3,39.158,1747500859801,2025-05-17T16:54:19.801000+00:00,2025-05-17T12:54:19.801000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,98,0,3,4,39.1674,1747500898134,2025-05-17T16:54:58.134000+00:00,2025-05-17T12:54:58.134000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,98,0,4,5,39.1061,1747500936496,2025-05-17T16:55:36.496000+00:00,2025-05-17T12:55:36.496000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,51,0,0,1,42.5343,1747501084756,2025-05-17T16:58:04.756000+00:00,2025-05-17T12:58:04.756000-04:00,yellow
