fold_id,fold_role,test_year,model_name,diagnostic_type,feature_name,value,model_policy_hash
PRIMARY_LOYO_2021,PRIMARY,2021,ELASTIC_NET,STANDARDIZED_COEFFICIENT,best_prior_supported_average_speed_mph,0.0,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,ELASTIC_NET,STANDARDIZED_COEFFICIENT,has_prior_supported_attempt,-0.0,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_temp_c,0.1709674335982631,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_relative_humidity_pct,0.048016520814352655,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_wind_speed_10m_ms,0.14846209939323685,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_wind_direction_sin,0.13397429045343692,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_wind_direction_cos,0.11745693036681325,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_pressure_hpa,0.142533916134527,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_cloud_cover_pct,0.13353909909687595,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,forecast_shortwave_radiation_wm2,0.06400154493321067,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
