path,field_name,field_class,nonempty_samples
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,PositionStart,TIME_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,TimesLed,TIME_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,BestLapTime,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,BestSpeed,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,BestSpeedFormatted,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,CarNumber,IDENTITY_LIKE,"[""12"", ""3"", ""2"", ""7"", ""27"", ""17"", ""60"", ""14""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,DriverName,IDENTITY_LIKE,"[""Will Power"", ""Scott McLaughlin"", ""Josef Newgarden"", ""Alexander Rossi"", ""Kyle Kirkwood"", ""Kyle Larson"", ""Felix Rosenqvist"", ""Santino Ferrucci""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,DriverOverrideID,IDENTITY_LIKE,"[""3667"", ""4932"", ""4215"", ""4587"", ""4623"", ""4958"", ""4588"", ""4897""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,DriverUrl,IDENTITY_LIKE,"[""/Drivers/Will-Power"", ""/Drivers/Scott-McLaughlin"", ""/Drivers/Josef-Newgarden"", ""/Drivers/Alexander-Rossi"", ""/Drivers/Kyle-Kirkwood"", ""/Drivers/Felix-Rosenqvist"", ""/Drivers/Santino-Ferrucci"", ""/Drivers/Takuma-Sato""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,DriversID,IDENTITY_LIKE,"[""3667"", ""4932"", ""4215"", ""4587"", ""4623"", ""4958"", ""4588"", ""4897""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,ElapsedTime,IDENTITY_LIKE,"[""02:34.0053"", ""02:34.2863"", ""02:34.3124"", ""02:34.4609"", ""02:34.6634"", ""02:34.7965"", ""02:34.8074"", ""02:34.8415""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,EventsEntrylistID,IDENTITY_LIKE,"[""36782"", ""36774"", ""36773"", ""36777"", ""36789"", ""36806"", ""36794"", ""36783""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,EventsSessionsDetailsID,IDENTITY_LIKE,"[""113228"", ""113229"", ""113230"", ""113231"", ""113232"", ""113233"", ""113234"", ""113235""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,EventsSessionsID,IDENTITY_LIKE,"[""6382""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,InLap,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,LapsComplete,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,LapsDown,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,LapsLed,IDENTITY_LIKE,[]
