year,id,json_path,key,value_preview
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps,laps,"[{'lapNumber': 1, 'laptime': 41.1147, 'driver': 0, 'flag': 'yellow', 'timestamp': 1747501934932, 'car': '3'}, {'lapNumber': 2, 'laptime': 38.6043, 'driver': 0, 'flag': 'green', 'timestamp': 1747501974935, 'car': '3'}, {'lapNumber': 3, 'laptime': 38.7107, 'driver': 0, 'flag': 'green', 'timestamp': 1747502013290, 'car': '3'}, {'lapNumber': 4, 'laptime': 38.5799, 'driver': 0, 'flag': 'green', 'timestamp': 1747502051645, 'car': '3'}, {'lapNumber': 5, 'laptime': 38.603, 'driver': 0, 'flag': 'green', ..."
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[0].lapNumber,lapNumber,1
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[0].laptime,laptime,41.1147
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[0].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[0].timestamp,timestamp,1747501934932
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[0].car,car,3
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[1].lapNumber,lapNumber,2
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[1].laptime,laptime,38.6043
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[1].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[1].timestamp,timestamp,1747501974935
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[1].car,car,3
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[2].lapNumber,lapNumber,3
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[2].laptime,laptime,38.7107
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[2].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[2].timestamp,timestamp,1747502013290
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[2].car,car,3
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[3].lapNumber,lapNumber,4
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[3].laptime,laptime,38.5799
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[3].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[3].timestamp,timestamp,1747502051645
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[3].car,car,3
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[4].lapNumber,lapNumber,5
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[4].laptime,laptime,38.603
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[4].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[4].timestamp,timestamp,1747502090409
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].laps[4].car,car,3
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.highestSeenFlagThisLap,highestSeenFlagThisLap,1
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.drivers,drivers,"[{'idx': 0, 'car': '4', 'name': 'David Malukas'}]"
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.drivers[0].car,car,4
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.currentLap,currentLap,11
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].startLap,startLap,1
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].startTime,startTime,1747499114023
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].car,car,4
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps,laps,"[{'lapNumber': 1, 'laptime': 40.6665, 'driver': 0, 'flag': 'yellow', 'timestamp': 1747499114064, 'car': '4'}, {'lapNumber': 2, 'laptime': 38.8124, 'driver': 0, 'flag': 'green', 'timestamp': 1747499152396, 'car': '4'}, {'lapNumber': 3, 'laptime': 38.813, 'driver': 0, 'flag': 'green', 'timestamp': 1747499190676, 'car': '4'}, {'lapNumber': 4, 'laptime': 38.7028, 'driver': 0, 'flag': 'green', 'timestamp': 1747499228963, 'car': '4'}, {'lapNumber': 5, 'laptime': 38.7144, 'driver': 0, 'flag': 'green', ..."
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[0].lapNumber,lapNumber,1
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[0].laptime,laptime,40.6665
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[0].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[0].timestamp,timestamp,1747499114064
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.4.stints[0].laps[0].car,car,4
