year,file,json_path,depth,value_type
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.30,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.33,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.48,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap,1,dict
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.77,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.10,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.28,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.26,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.15,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.60,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.98,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.88,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.63,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.66,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.59,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.81,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.32,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.14,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.24,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.25,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.39,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.27,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.20,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.21,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.22,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.23,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.19,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.18,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.31,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.30,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.42,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.5T,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.33,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.3,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.2,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.5,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.4,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.7,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.48,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.9,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap.12,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint,1,dict
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.77,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.10,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.28,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.26,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.15,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.60,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.98,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.88,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.63,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.66,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.59,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.81,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.32,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint.14,2,list
