path,file_type,status,rows_sampled,total_columns,filename_relevant,year_columns,attempt_like_columns,time_like_columns,weather_like_columns,has_2018,has_2019,has_2025,has_2026,hits_2018,hits_2019,hits_2025,hits_2026
r4/output/r4p1_attempt_four_lap_panel_v1.csv,csv,OK,329,42,True,year|session_id|result_counted_at_session_end|canonical_start_time_utc|canonical_end_time_utc|canonical_event_time_quality|time_evidence_class|time_point_utc|time_lower_utc|time_upper_utc|time_source|time_semantic,attempt_id|car_number|driver_name|car_attempt_index|attempt_class|four_lap_average_speed_mph|lap1_speed_mph|lap2_speed_mph|lap3_speed_mph|lap4_speed_mph|lap1_to_lap4_delta_mph|lap1_to_lap2_delta_mph|lap2_to_lap3_delta_mph|lap3_to_lap4_delta_mph|late_run_fade_mph|complete_four_lap_shape|car_attempt_order_quality|canonical_event_time_quality,canonical_start_time_utc|canonical_end_time_utc|canonical_event_time_quality|time_evidence_class|time_point_utc|time_lower_utc|time_upper_utc|time_source|time_semantic,attempt_id|car_attempt_index|attempt_class|car_attempt_order_quality|ptsc_track_temp_available,False,False,False,False,0,0,0,0
r4/output/r4f7c2a_canonical_weather_source_discovery_qa_v1.csv,csv,OK,6,4,True,,,,,False,False,False,False,0,0,0,0
r4/output/r4f4b_repeat_residual_temporal_position_qa_v2.csv,csv,OK,4,4,False,,,,,False,False,False,False,0,0,0,0
r4/output/r4p1_qa_v1.csv,csv,OK,15,5,False,,,,,False,False,False,False,0,0,0,0
r4/output/r4f8d_final_mc_decision_numeric_schema_v1.csv,csv,OK,6,7,False,,,,,False,False,False,False,0,0,0,0
r4/output/r4f7c1_v2_numeric_weather_source_resolution.csv,csv,OK,9,11,True,time_column_count|time_columns,direct_attempt_join|target_attempt_rows,time_column_count|time_columns,direct_attempt_join|target_attempt_rows,False,False,False,False,0,0,0,0
r4/output/r4f1_day1_fused_interface_v1.csv,csv,OK,138,37,True,year|session_regime|decision_time_utc|time_quality|decision_time_safe,car_number|driver_name|source_attempt_id|source_attempt_index|later_attempt_count|benchmark_speed_mph|qualification_state|action_mask_REATTEMPT|action_mask_RETAIN_AND_REATTEMPT|action_mask_WITHDRAW_AND_REATTEMPT|action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT|observed_action_quality|time_quality,decision_time_utc|time_quality|decision_time_safe,source_attempt_id|source_attempt_index|later_attempt_count|action_mask_REATTEMPT|action_mask_RETAIN_AND_REATTEMPT|action_mask_WITHDRAW_AND_REATTEMPT|action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT,False,False,False,False,0,0,0,0
r4/output/r4f8h_g_action_mc_scenario_results_v1.csv,csv,OK,1183,42,True,year|assumed_time_remaining_minutes|time_remaining_semantics|completion_time_mean_minutes,driver|current_result_speed_mph|benchmark_speed_mph|p_reattempt_completed|p_new_attempt_beats_current_result|p_new_attempt_meets_or_exceeds_decision_benchmark|expected_new_attempt_speed_mph|expected_final_result_speed_conditional_mph|final_speed_q05_mph|final_speed_q25_mph|final_speed_q50_mph|final_speed_q75_mph|final_speed_q95_mph|run_duration_mean_minutes,assumed_time_remaining_minutes|time_remaining_semantics|completion_time_mean_minutes,p_reattempt_completed|p_new_attempt_beats_current_result|p_new_attempt_meets_or_exceeds_decision_benchmark|expected_new_attempt_speed_mph,True,False,False,True,1,0,0,2
r4/output/r4f3a_ptsc_schema_diagnostics_v1.csv,csv,OK,30,8,True,parsed_datetime|parsed_years,,parsed_datetime,,False,False,False,False,0,0,0,0
r4/output/r4f8h_h_priority_break_even_summary_v1.csv,csv,OK,350,13,False,year|assumed_time_remaining_minutes,driver|current_result_speed_mph|benchmark_speed_mph,assumed_time_remaining_minutes,,False,False,False,False,0,0,0,0
