path,key,value_type,value,year,session_id
root.records[33].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[33].InLap,InLap,NoneType,None,2018,5320
root.records[33].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[33].QualLap1,QualLap1,str, 39.5344,2018,5320
root.records[33].QualLap2,QualLap2,str, 39.5292,2018,5320
root.records[33].QualLap3,QualLap3,str, 39.5404,2018,5320
root.records[33].QualLap4,QualLap4,str, 39.5747,2018,5320
root.records[34].DriverUrl,DriverUrl,str,/Drivers/Ryan-Hunter-Reay,2018,5320
root.records[34].ElapsedTime,ElapsedTime,str,02:38.6487,2018,5320
root.records[34].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[34].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[34].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[34].InLap,InLap,NoneType,None,2018,5320
root.records[34].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[34].QualLap1,QualLap1,str, 39.6541,2018,5320
root.records[34].QualLap2,QualLap2,str, 39.6726,2018,5320
root.records[34].QualLap3,QualLap3,str, 39.6538,2018,5320
root.records[34].QualLap4,QualLap4,str, 39.6682,2018,5320
root.records[35].DriverUrl,DriverUrl,NoneType,None,2018,5320
root.records[35].ElapsedTime,ElapsedTime,str,00:39.7550,2018,5320
root.records[35].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[35].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[35].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[35].InLap,InLap,NoneType,None,2018,5320
root.records[35].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[35].QualLap1,QualLap1,str, 39.7550,2018,5320
root.records[35].QualLap2,QualLap2,str,  0.0000,2018,5320
root.records[35].QualLap3,QualLap3,str,  0.0000,2018,5320
root.records[35].QualLap4,QualLap4,str,  0.0000,2018,5320
