year,car_number,driver_name,attempt_from,attempt_to,from_lower,from_upper,to_lower,to_upper,interval_lower_min,interval_upper_min,interval_midpoint_min,interval_width_min,time_quality,regime,from_constraint,to_constraint,from_status,to_status,from_source_authority,to_source_authority,from_evidence,to_evidence
2023,27,Kyle Kirkwood,2,3,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2023,29,Devlin DeFrancesco,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2023,33,Ed Carpenter,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2023,33,Ed Carpenter,2,3,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2023,66,Tony Kanaan,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2023,66,Tony Kanaan,2,3,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2023,77,Callum Ilott,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2023,8,Marcus Ericsson,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2023,8,Marcus Ericsson,2,3,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2023,9,Scott Dixon,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2024,21,Rinus VeeKay,1,2,,,2024-05-18T19:26:00+00:00,2024-05-18T19:26:00+00:00,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,APPROXIMATE_OBSERVED,APPROXIMATE_OBSERVED,WAVED_OFF,WAVED_OFF,,,,
2024,21,Rinus VeeKay,2,3,2024-05-18T19:26:00+00:00,2024-05-18T19:26:00+00:00,2024-05-18T19:50:00+00:00,2024-05-18T19:52:00+00:00,24.0,26.0,25.0,2.0,TIGHT_BOUND,UNKNOWN,APPROXIMATE_OBSERVED,BOUNDED_INTERVAL,WAVED_OFF,WITHDRAWN,,,,
2024,21,Rinus VeeKay,3,4,2024-05-18T19:50:00+00:00,2024-05-18T19:52:00+00:00,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,BOUNDED_INTERVAL,BOUNDED_INTERVAL,WITHDRAWN,VALID_RETAINED,,,,
2024,7,Alexander Rossi,1,2,,,2024-05-18T20:39:00+00:00,2024-05-18T20:41:00+00:00,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,APPROXIMATE_OBSERVED,BOUNDED_INTERVAL,RETIRED,VALID_RETAINED,,,,
