fused_decision_id,year,driver,regime,action,scenario_count,scenario_minutes,aggregation_semantics,p_reattempt_completed_min,p_reattempt_completed_max,p_final_result_exists_min,p_final_result_exists_max,p_no_final_result_min,p_no_final_result_max,p_final_result_meets_or_exceeds_decision_benchmark_min,p_final_result_meets_or_exceeds_decision_benchmark_max,p_final_result_worse_than_current_min,p_final_result_worse_than_current_max,expected_final_result_speed_conditional_mph_min,expected_final_result_speed_conditional_mph_max
DAY1::DAY1_2021_30_POST_FIRST_ATTEMPT,2021,Takuma Sato,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,230.708,231.25792314686595
DAY1::DAY1_2021_30_POST_FIRST_ATTEMPT,2021,Takuma Sato,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,230.708,230.708
DAY1::DAY1_2021_30_POST_FIRST_ATTEMPT,2021,Takuma Sato,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7594,0.401,1.0,230.91726137730606,230.95755085648076
DAY1::DAY1_2021_3_POST_FIRST_ATTEMPT,2021,Scott McLaughlin,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,230.55699999999996,230.67307290730253
DAY1::DAY1_2021_3_POST_FIRST_ATTEMPT,2021,Scott McLaughlin,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,230.557,230.557
DAY1::DAY1_2021_3_POST_FIRST_ATTEMPT,2021,Scott McLaughlin,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.37455,0.7935,1.0,229.69847146916615,229.74019235391947
DAY1::DAY1_2021_45_POST_FIRST_ATTEMPT,2021,Santino Ferrucci,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5078,0.0,0.0,229.94900000000004,230.52891198885897
DAY1::DAY1_2021_45_POST_FIRST_ATTEMPT,2021,Santino Ferrucci,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,229.949,229.949
DAY1::DAY1_2021_45_POST_FIRST_ATTEMPT,2021,Santino Ferrucci,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5038,0.38045,1.0,230.26135267437658,230.2790212585643
DAY1::DAY1_2021_47_POST_FIRST_ATTEMPT,2021,Conor Daly,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.26255,0.0,0.0,230.42699999999996,230.6702510136515
