file,group,field
r4/output/r4p5_decision_safe_forecast_scenarios_v1.csv,time,decision_time_utc
r4/output/r4p1_multi_run_four_lap_panel_v1.csv,year,year
r4/output/r4p1_multi_run_four_lap_panel_v1.csv,attempt_id,attempt_id
r4/output/r4p1_multi_run_four_lap_panel_v1.csv,car,car_number
r4/output/r4p1_multi_run_four_lap_panel_v1.csv,driver,driver_name
r4/output/r4p1_multi_run_four_lap_panel_v1.csv,lane,lane_action
r4/output/r4p1_multi_run_four_lap_panel_v1.csv,time,time_point_utc
r4/output/r4p1_multi_run_four_lap_panel_v1.csv,time,canonical_start_time_utc
r4/output/r4p1_multi_run_four_lap_panel_v1.csv,time,canonical_end_time_utc
r4/output/r4p1_multi_run_four_lap_panel_v1.csv,time_quality,time_evidence_class
r4/output/r4p1_multi_run_four_lap_panel_v1.csv,time_quality,canonical_event_time_quality
r4/output/r4p10_thermal_conditioned_repeat_dataset_v1.csv,year,year
r4/output/r4p10_thermal_conditioned_repeat_dataset_v1.csv,car,car_number
r4/output/r4p10_thermal_conditioned_repeat_dataset_v1.csv,driver,driver_name
r4/output/r4p10_thermal_conditioned_repeat_dataset_v1.csv,current_result,current_speed_mph
r4/output/r4p10_thermal_conditioned_repeat_dataset_v1.csv,time,decision_time_utc
r4/output/r4p10_thermal_conditioned_repeat_predictions_v1.csv,car,car_number
r4/output/r4p10_thermal_conditioned_repeat_predictions_v1.csv,driver,driver_name
r4/output/r4p3_window_signal_predictions_v1.csv,car,car_number
r4/output/r4p3_window_signal_predictions_v1.csv,driver,driver_name
r4/output/r4p2_past_only_cross_car_signal_v1.csv,year,year
r4/output/r4p2_past_only_cross_car_signal_v1.csv,car,car_number
r4/output/r4p2_past_only_cross_car_signal_v1.csv,driver,driver_name
r4/output/r4p9_track_temp_delta_direction_predictions_v1.csv,time,decision_time_utc
